% Model:              3D_7lay_aniso_h.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 22 2018, 15:33
% Dimension:          1
% Nodes:              100
% Expressions:        11
% Description:        Temperature
% cln1x                   T (K) @ t=0              T (K) @ t=3              T (K) @ t=6              T (K) @ t=9              T (K) @ t=12             T (K) @ t=15             T (K) @ t=18             T (K) @ t=21             T (K) @ t=24             T (K) @ t=27             T (K) @ t=30
52.400000000000006        293.15000000000003       293.3892970888371        295.21152322320233       298.0996145118415        301.2801156879659        304.38556871734073       307.2573876592353        309.8395962842244        312.1261218967004        314.13390854010174       315.8891856926923
53.2                      293.15000000000003       293.3707969750394        295.1180935654896        297.93982198650735       301.07373380964583       304.1467424752267        306.9952537873171        309.56010582688793       311.8332744730482        313.83049231669577       315.5772164760616
54                        293.1499999999999        293.35334361957086       295.0283518640028        297.7852945620359        300.8734302316286        303.9143766429098        306.7397251874052        309.28723758077695       311.5469996888861        313.5335670423628        315.2716435144033
54.800000000000004        293.1499999999999        293.33674840577777       294.94226409180544       297.6361114441313        300.67934393021676       303.6886410390425        306.49098731193726       309.0211846381984        311.2674940854871        313.243330533858         314.9726648005061
55.599999999999994        293.14999999999986       293.3213483195178        294.860101830268         297.49246269372344       300.4916204747949        303.4696592913816        306.249153931191         308.7620571479154        310.99486729220945       312.9598933482624        314.6803924059638
56.4                      293.14999999999975       293.30704106158817       294.78163325568016       297.3540599015687        300.3099343887706        303.25707709071844       306.0138475504372        308.509458871167         310.7287078959753        312.68283177081435       314.39439262405443
57.199999999999996        293.14999999999975       293.29398478513565       294.7070568355865        297.22110334196555       300.1344906679748        303.0511076037356        305.7852906626395        308.2636213965324        310.46925572938545       312.41239282406633       314.1149186143808
58                        293.14999999999986       293.28223759725057       294.6364645339667        297.09369563307          299.9653998748464        302.85186876561465       305.5636078544911        308.02467509163716       310.2166460657505        312.14871588642234       313.84211316365065
58.8                      293.15                   293.27179949793293       294.5698563508209        296.97183677488204       299.80266200938553       302.6593605763558        305.3487991259919        307.79261995648113       309.97087890507055       311.8918009578826        313.57597627186396
59.6                      293.1500000000001        293.2626704871828        294.507232286149         296.8555267674016        299.64627707159195       302.47358303595877       305.14086447714186       307.5674559910642        309.7319542473453        311.6416480384468        313.3165079390207
60.4                      293.1500000000001        293.254313180576         294.44807313843165       296.7444515938551        299.49607907852385       302.29446386732377       304.93979089247915       307.3492086232904        309.49992327636556       311.3983261621495        313.06378998705475
61.2                      293.15000000000015       293.2461189916419        294.3913364817663        296.6376208744804        299.3511601861906        302.12115031805064       304.74475917821337       307.13707922461685       309.2740004172503        311.1610584696083        312.8170517336869
62                        293.15000000000015       293.2384224426476        294.33719404237127       296.5350184994637        299.2113837628707        301.9534304144392        304.5555092852094        306.9307761576254        309.0538726279152        310.9295169736615        312.5759544628905
62.800000000000004        293.15000000000003       293.23122353359315       294.2856458202466        296.436644468805         299.07674980856433       301.79130415648933       304.3720412134672        306.73029942231614       308.83953990836017       310.70370167430883       312.3404981746654
63.6                      293.15000000000003       293.2245222644786        294.236691815392         296.3424987825043        298.9472583232713        301.63477154420116       304.1943549629868        306.53564901868896       308.6310022585854        310.48361257155045       312.1106828690117
64.4                      293.15                   293.21831863530383       294.19033202780787       296.2525814405616        298.8229093069917        301.4838325775746        304.0224505337681        306.34682494674405       308.4282596785906        310.26924966538627       311.88650854592925
65.19999999999999         293.15                   293.212612646069         294.14656645749403       296.16689244297703       298.7037027597257        301.33848725660994       303.8563279258114        306.1638272064813        308.2313121683762        310.0606129558165        311.6679752054184
66                        293.15                   293.2073742530865        294.1053210732212        296.08534100028464       298.58953641097355       301.1986234306326        303.6958664505907        305.98652787429785       308.04002575733          309.8575634571295        311.45493971791535
66.8                      293.15                   293.2026053694677        294.06659746047427       296.007926960582         298.4804082016247        301.0642372776436        303.54106075016654       305.8149202875296        307.8543926869728        309.6600924947248        311.2473926438009
67.6                      293.15000000000003       293.1983426540882        294.0304848124043        295.93475894445925       298.3764398010368        300.9354616520517        303.39205333982375       305.6491551470556        307.6745704976829        309.46836327867544       311.0455018749455
68.4                      293.1499999999999        293.19458610694807       293.99698312901086       295.86583695191604       298.27763120920935       300.81229655385664       303.2488442195619        305.4892324528757        307.5005591894601        309.28237580898116       310.8492674113489
69.2                      293.15                   293.1913357280474        293.9660924102944        295.80116098295264       298.1839824261429        300.69474198305863       303.11143338938115       305.3351522049899        307.3323587623047        309.1021300856422        310.6586892530111
70                        293.15                   293.18854825651954       293.9376774316869        295.74053704793096       298.09525376130256       300.58252083551827       302.9795132452871        305.1865820970974        307.1696169574715        308.9272577309802        310.47338597507553
70.8                      293.1500000000001        293.1854908629891        293.9069366311986        295.67434014739655       297.99748904496914       300.457944495631         302.83219495453          305.01988705761227       306.9863372908734        308.7297270997994        310.2635678552076
71.6                      293.15000000000003       293.1826925470855        293.87837049780234       295.61203085659736       297.9045019917907        300.33849003723384       302.69004710996137       304.85826356619145       306.807964003179         308.5369145988799        310.05827880823693
72.4                      293.15                   293.18014166467105       293.8519835338004        295.55364653498225       297.816354417187         300.22423593885674       302.5531598492401        304.7018102604434        306.6346021596092        308.348930297616         309.8576328875185
73.2                      293.1499999999999        293.1778414236866        293.82769050883235       295.4989849975896        297.7327484970229        300.1148104036233        302.42110401480664       304.5500530363053        306.46574206555056       308.16523605329655       309.6610690228808
74                        293.1499999999999        293.1757918241324        293.8054914228982        295.44804624441974       297.6536842312987        300.010213431534         302.29387960666116       304.40299189377754       306.30138372100384       307.9858318659216        309.4685872143239
74.80000000000001         293.15000000000003       293.17399286600823       293.78538627599795       295.40083027547263       297.57916162001425       299.91044502258865       302.1714866248038        304.26062683285977       306.1415271259687        307.8107177354912        309.28018746184785
75.6                      293.1499999999999        293.17244454931415       293.7673750681316        295.357337090748         297.50918066316945       299.81550517678716       302.05392506923425       304.1229578535521        305.9861722804451        307.6398936620051        309.0958697654524
76.39999999999999         293.15000000000003       293.17114687405035       293.75145779929926       295.31756669024634       297.4437413607646        299.7253938941299        301.9411949399529        303.9899849558548        305.83531918443333       307.4733596454638        308.91563412513796
77.2                      293.1499999999999        293.17009984021644       293.7376344695005        295.281519073967         297.3828437127993        299.64011117461627       301.83329623695914       303.86170813976736       305.68896783793286       307.31111568586664       308.7394805409039
78                        293.1500000000001        293.1693034478129        293.725905078736         295.2491942419106        297.326487719274         299.5596570182469        301.7302289602537        303.73812740529036       305.54711824094437       307.1531617832143        308.567409012751
78.8                      293.14999999999986       293.1687576968392        293.716269627005         295.2205921940765        297.274673380188         299.48403142502116       301.63199310983583       303.6192427524231        305.409770393467         306.999497937506         308.3994195406784
79.6                      293.1499999999998        293.16846258729566       293.70872811430803       295.1957129304652        297.227400695542         299.41323439493954       301.5385886857061        303.5050541811661        305.27692429550143       306.8501241487424        308.23551212468675
